Category,Cups of Rice,Date,Dish
Dinner,0,"April 28, 2026",Tinola
Dinner,1,"April 28, 2026",Pritong Isda
Fruits,0,"April 28, 2026",Pomelo
Lunch,2,"April 29, 2026",Mackerel
Dinner,2,"April 29, 2026","Uncle Moe’s Beef and Chicken Kebab, 3 Kofta Balls, and 1 Pita Wrap"
Drink,0,"April 29, 2026",1 Coke
Fruits,0,"April 29, 2026",Half orange
Lunch,1,"April 30, 2026",1 Chicken
Snack,0,"April 30, 2026",3 Pizza Slices and 1 Chicken
Dinner,1,"April 30, 2026",Pork
Lunch,1,"May 19, 2026","Fish Fillet with Tartar Sauce and Sauted Vegetables (Carrots, Zucchini, Green Beans) and Tomato, Small Lemon Cheesecake"
Merienda,0,"May 19, 2026",Maja Blanca
Merienda,0,"May 19, 2026",2 Egg Sandwich and Potatoes
Dinner,1,"May 19, 2026","Fish Fillet with Tartar Sauce and Sauted Vegetables (Carrots, Zucchini, Green Beans) and Tomato, Small Lemon Cheesecake"
Breakfast,0,"May 20, 2026",French Toast with Fruits and Maple Syrup
Lunch,1,"May 20, 2026","Cordon Bleu, Small Potatoes, Butterscotch"
Merienda,0,"May 20, 2026",Sphagetti and 1 Bread
Merienda,,"May 20, 2026",Sphagetti and 1 Bread
Dinner,1,"May 20, 2026","Cordon Bleu, Small Potatoes, Butterscotch"
Drink,0,"May 20, 2026","Forte Coffee, 1 Cup Coffee, and Tea"
Fruits,0,"May 20, 2026",1 Orange
Lunch,1.5,"May 21, 2026","2 Fish Sausage, Dinakdakan"
Dinner,2,"May 21, 2026","Non-baked Sushi (Crab, Kewpie, Rice)"
Dinner,0,"May 21, 2026",Shim Ramyun w/ 1 Egg
Merienda,0,"May 21, 2026",Fish Cake in Stick
Fruits,0,"May 21, 2026","Avocado with Condensed Milk, and Bearbrand Milk"
Lunch,1,"May 22, 2026",Gosalads - Kebab Grain Bowl
Dinner,2,"May 22, 2026","Pork Tonkatsu, Fish Sausage"
Drink,0,"May 22, 2026","4 Nescafe Sticks and 2 Tablets of Sugar, 6 Coffeemate"
Dinner,0,"May 22, 2026",Miso Soup
Lunch,1,"May 23, 2026",Kimchi Fried Rice and 1 Egg
Dinner,2,"May 23, 2026",Pork Sisig w/ Egg
Drink,0,"May 23, 2026",Milk w/ Tea
Lunch,1,"May 24, 2026",Egg Fried Rice and Pork Tonkatsu
Dinner,0,"May 24, 2026","Hawaiian Pizza (4 Slices), Shrimp Aglia Olio, and Mac n Cheese"
Lunch,1,"May 25, 2026",Smothered Porkchop
Fruits,0,"May 25, 2026",Melon
Drink,0,"May 25, 2026","2 Nescafe Sticks and 1 Tablets of Sugar, 3 Coffeemate"
Dinner,2,"May 25, 2026",Tuna Sisig and Fried Egg
Drink,0,"May 25, 2026",Brewed Fruit Tea
Dessert,0,"May 25, 2026",1 Slice of Carrot Cake and 1/3 of a Slice of Cheesecake
Drink,0,"May 26, 2026","2 Nescafe Sticks and 1 Tablets of Sugar, 3 Coffeemate"
Lunch,1,"May 26, 2026",Bicol Express
Lunch,0,"May 26, 2026",3 Spring Rolls
Fruits,0,"May 26, 2026",Watermelon
Dinner,2,"May 26, 2026","Sinigang na Bangus, Pork Sisig, Kilawing Tuna"
Lunch,2,"May 27, 2026",Pork Tonkatsu and Sinigang na Bangus
Dinner,2,"May 27, 2026",Pork Adobo sa Puti
Drink,0,"May 27, 2026",Dried Fruit Tea with Milk
Drink,0,"May 28, 2026",4 Nescafe Sticks with Milk
Lunch,1,"May 28, 2026",Pecho Paa Inasal
Dinner,1,"May 28, 2026",Shakshuka with 3 Eggs
Lunch,2,"May 29, 2026","Chicken Afritada, Pork Humba"
Dinner,2,"May 29, 2026","1 Roll of Gimbap (Mango, Cucumber, Crab Stick, Spam), Marinated Chicken Breast, and Spam"
Drink,0,"May 29, 2026",2 Nescafe Sticks with Milk
Breakfast,1,"May 30, 2026","Gimbap (Mango, Cucumber, Crab Stick, Spam)"
Lunch,0,"May 30, 2026","2 Pcs Spring in the City/Pork Floss Bread "
Drink,0,"May 30, 2026","Royal, Sprite"
Lunch,1,"May 30, 2026","1 Pcs Chicken Mcdo, Fries"
