Expense,Amount,Category,Date,Interest/Debt
JoyRide,₱230.00,Transportation,"April 17, 2024",
JoyRide,₱197.00,Transportation,"April 18, 2024",
JoyRide,₱230.00,Transportation,"April 19, 2024",
TCL Aircon 1.5 HP,"₱20,000.00",Home,"April 25, 2024",
JoyRide,₱227.00,Transportation,"May 3, 2024",
JoyRide,₱227.00,Transportation,"May 4, 2024",
JoyRide,₱215.00,Transportation,"May 6, 2024",
JoyRide,₱203.00,Transportation,"May 7, 2024",
Braces Adjustment,"₱1,000.00",Personal,"May 11, 2024",
JoyRide,₱289.00,Transportation,"May 14, 2024",
JoyRide,₱203.00,Transportation,"May 16, 2024",
JoyRide,₱448.00,Transportation,"May 21, 2024",
JoyRide,₱193.00,Transportation,"May 23, 2024",
JoyRide,₱205.00,Transportation,"May 27, 2024",
JoyRide,₱205.00,Transportation,"May 29, 2024",
Silicon Keyboard Case,₱97.02,Personal,"May 30, 2024",
JoyRide,₱188.00,Transportation,"May 30, 2024",
Jordy and I Foods,"₱1,000.00","Entertainment, Food","May 31, 2024",
GrabFood,₱349.00,Food,"June 3, 2024",
Logitech M240,₱779.00,Technology,"June 11, 2024",
JoyRide,₱221.00,Transportation,"June 18, 2024",
Braces Adjustment,"₱1,300.00",Personal,"June 19, 2024",
GrabFood,₱504.00,Food,"June 23, 2024",
GrabFood,₱413.00,Food,"June 24, 2024",
Adobe Acrobat,₱997.00,Technology,"June 29, 2024",
Give papa and mama money,"₱10,000.00",Personal,"June 30, 2024",
Logitech G102,"₱1,114.00",Technology,"June 30, 2024",
Electric Billing,"₱3,000.00",Home,"July 1, 2024",
GrabFood,₱572.00,Food,"July 2, 2024",
Beep Card,₱112.00,Transportation,"July 2, 2024",
Tomtoc Macbook Bag,"₱1,948.00",Personal,"July 2, 2024",
JoyRide,₱220.00,Transportation,"July 2, 2024",
iPhone Case,₱419.00,Personal,"July 8, 2024",
JoyRide,₱272.00,Transportation,"July 9, 2024",
GrabFood,₱581.00,Food,"July 15, 2024",
Giordano Pants,₱750.00,Personal,"July 16, 2024",
Braces Adjustment,"₱1,000.00",Personal,"July 19, 2024",
iPhone Case & Screen Protector,₱370.00,Personal,"July 22, 2024",
JoyRide,₱344.00,Transportation,"July 29, 2024",
Electric Billing,"₱2,000.00",Home,"August 1, 2024",
JoyRide,₱426.00,Transportation,"August 2, 2024",
El Pollo Loco,"₱3,000.00","Entertainment, Food","August 2, 2024",
Wallet and Umbrella,"₱1,520.37",Personal,"August 8, 2024",
Jords Ramen Nagi,"₱1,538.00",Food,"August 8, 2024",
Jords Timezone,₱750.00,Entertainment,"August 8, 2024",
Anker Charger,"₱1,287.00",Technology,"August 8, 2024",
Ukay,"₱1,200.00",Personal,"August 10, 2024",
Dorm Watson,₱859.00,Home,"August 10, 2024",
Pillow Dorm,₱454.00,Home,"August 10, 2024",
SM Dorm Stuff,"₱1,319.40",Home,"August 10, 2024",
Amazon Prime,₱857.00,"Entertainment, Personal","August 11, 2024",
UPMMC Renewals,₱75.00,Organization,"August 11, 2024",
Cindys Food,₱198.00,Food,"August 12, 2024",
Kain Food,₱588.00,Food,"August 13, 2024",
Burger King with SHS Friends,₱722.00,Food,"August 14, 2024",
Food,₱285.00,Food,"August 17, 2024",
Electric Fan,"₱1,987.00","Home, Technology","August 17, 2024",
Lalamove,₱650.00,Home,"August 18, 2024",
Dorm Rent Payment,"₱6,000.00",Home,"August 18, 2024",
Joyride,₱197.00,Transportation,"August 19, 2024",
Blanket,₱329.00,Home,"August 19, 2024",
Pizzahut + Avocado,₱229.00,Food,"August 19, 2024",
Rice Cake,₱27.00,Food,"August 20, 2024",
Banana Shake,₱60.00,Food,"August 20, 2024",
Sisig,₱95.00,Food,"August 20, 2024",
Pandesal,₱12.00,Food,"August 20, 2024",
Bottled Water,₱25.00,Food,"August 20, 2024",
Grocery,₱434.75,Food,"August 21, 2024",
Sisig Tofu and Hungarian Sausage,₱107.00,Food,"August 21, 2024",
Sisig,₱95.00,Food,"August 22, 2024",
Hungarian Sausage and Rice,₱57.00,Food,"August 22, 2024",
2-kilo Rice,₱110.00,Food,"August 22, 2024",
Ikot,₱11.00,Transportation,"August 22, 2024",
Coffee Mate,₱57.00,"Food, Home","August 23, 2024",
Transpo,₱77.00,Transportation,"August 23, 2024",
Jjangs,₱145.00,Food,"August 23, 2024",
Hungarian Sausage,₱45.00,Food,"August 23, 2024",
Pier Express,₱199.00,Food,"August 23, 2024",
Ham and Longganisa,₱126.00,Food,"August 23, 2024",
Paotsin,₱294.00,Food,"August 24, 2024",
Laundry,₱187.00,Personal,"August 24, 2024",
Momarcs,₱79.00,Food,"August 24, 2024",
Adjustment and Cleaning,"₱1,600.00",Personal,"August 24, 2024",
Ikot and SM North Jeep,₱27.00,Transportation,"August 26, 2024",
Fried Siopao,₱30.00,Food,"August 26, 2024",
Pares Lechon,₱90.00,Food,"August 27, 2024",
Cockroach Powder,₱83.00,Home,"August 27, 2024",
"Ikot ",₱22.00,Transportation,"August 27, 2024",
Fried Chicken,₱90.00,Food,"August 27, 2024",
Cajun Salad,₱225.00,Food,"August 28, 2024",
Dis is Eat,₱140.00,Food,"August 28, 2024",
Cucumber Shake,₱30.00,Food,"August 29, 2024",
Chicken Yakisoba,₱90.00,Food,"August 29, 2024",
Carbonara,₱50.00,Food,"August 29, 2024",
Baygon,₱283.00,Home,"August 29, 2024",
Tonkatsu,₱95.00,Food,"August 29, 2024",
Ikot,₱11.00,Transportation,"August 29, 2024",
Mercado,₱261.00,Food,"August 30, 2024",
Avocadaria,₱140.00,Food,"August 30, 2024",
Mesa,"₱2,482.00",Food,"August 30, 2024",
Sisig,₱90.00,Food,"August 30, 2024",
Chicken Teriyaki,₱100.00,Food,"August 30, 2024",
Ikot,₱11.00,Transportation,"August 30, 2024",
,,,"August 31, 2024",
Janngs,₱194.00,Food,"August 31, 2024",
Laundry,₱187.00,Home,"September 2, 2024",
Tissue,₱15.00,Home,"September 2, 2024",
Spray Bottle,₱85.00,Home,"September 2, 2024",
Maxipeel,₱60.00,Personal,"September 2, 2024",
Walker,₱343.20,Home,"September 2, 2024",
Transportation,₱57.00,Transportation,"September 2, 2024",
Mama & Papa,"₱5,100.00",Home,"September 2, 2024",
JoyRide,₱215.00,Transportation,"September 2, 2024",
Kanto Pares,₱198.00,Food,"September 3, 2024",
Karinderya,₱80.00,Food,"September 3, 2024",
Ikot,₱11.00,Transportation,"September 4, 2024",
Coffee Bean and Tea Leaf,₱45.00,Food,"September 4, 2024",
Watsons,₱207.25,Personal,"September 4, 2024",
Daiso,₱284.00,Home,"September 4, 2024",
Jollibee,₱180.00,Food,"September 4, 2024",
Netflix,₱249.00,Entertainment,"September 4, 2024",
Sizzling Liempo,₱110.00,Food,"September 5, 2024",
Fried Chicken,₱90.00,Food,"September 5, 2024",
Ikot,₱11.00,Transportation,"September 5, 2024",
Arabic Food,₱375.00,Food,"September 6, 2024",
Chicken,₱95.00,Food,"September 6, 2024",
Hungarian Sausage,₱60.00,Food,"September 6, 2024",
Ikot,₱11.00,Transportation,"September 6, 2024",
Transportation,₱57.00,Transportation,"September 7, 2024",
Hungarian Sausage,₱60.00,Food,"September 7, 2024",
Kani Salad and Sushi,₱245.00,Food,"September 8, 2024",
JoyRide,₱221.00,Transportation,"September 8, 2024",
Lumpia,₱48.00,Food,"September 9, 2024",
Momarcs,₱90.00,Food,"September 9, 2024",
Shorts,"₱1,433.40",Personal,"September 9, 2024",
Wifi,₱550.00,Home,"September 10, 2024",
Ikot,₱22.00,Transportation,"September 10, 2024",
Calamares and Rice,₱45.00,Food,"September 10, 2024",
Head and Shoulders,₱205.00,Personal,"September 10, 2024",
Pabango,₱400.00,Personal,"September 10, 2024",
Brownies,₱65.00,Food,"September 10, 2024",
Toge,₱70.00,Food,"September 10, 2024",
Amazon Prime,₱857.00,"Entertainment, Personal","September 11, 2024",
Chicken,₱54.00,Food,"September 11, 2024",
Lumpiang Toge,₱20.00,Food,"September 11, 2024",
Ikot,₱22.00,Transportation,"September 11, 2024",
Tuna Sandwich,₱25.00,Food,"September 11, 2024",
Gulay,₱100.00,Food,"September 11, 2024",
Ikot,₱22.00,Transportation,"September 12, 2024",
Laundry,₱187.00,Personal,"September 12, 2024",
Pasta,₱75.00,Food,"September 12, 2024",
Chicken Inasal,₱145.00,Food,"September 12, 2024",
Gulay at Pasta,₱145.00,Food,"September 12, 2024",
Rocha,₱110.00,Food,"September 13, 2024",
Ikot,₱33.00,Transportation,"September 13, 2024",
