Expense,Amount,Category,Date,Interest/Debt
Grocery,₱197.00,"Home, Personal","November 23, 2024",
Lechong Kawali and Pechay,₱100.00,Food,"November 23, 2024",
Nescafe,₱12.00,Food,"November 24, 2024",
Pizzahut,₱705.00,Food,"November 24, 2024",
Shawarma,₱75.00,Food,"November 24, 2024",
Hungarian and Gising-gising,₱80.00,Food,"November 24, 2024",
Shawarma,₱150.00,Food,"November 25, 2024",
Avocado Shake,₱80.00,Food,"November 25, 2024",
Tricycle,₱60.00,Transportation,"November 26, 2024",
Sisig,₱170.00,Food,"November 26, 2024",
Karinderya,₱100.00,Food,"November 26, 2024",
Tricycle,₱50.00,Transportation,"November 27, 2024",
Marugame,₱215.00,Food,"November 27, 2024",
Tuna Pasta,₱50.00,Food,"November 27, 2024",
Binagoongan at Gising-gising,₱90.00,Food,"November 27, 2024",
JCO,₱59.00,Food,"November 28, 2024",
Feli,₱137.00,Personal,"November 28, 2024",
Timezone,₱250.00,Entertainment,"November 28, 2024",
H&M,"₱1,001.00","Home, Personal","November 28, 2024",
Ikot,₱22.00,Transportation,"November 28, 2024",
Mcdo,₱153.00,Food,"November 29, 2024",
This is Eat,₱187.00,Food,"November 29, 2024",
Lucky Day,₱35.00,Food,"November 29, 2024",
Feli Food,₱250.00,Food,"November 29, 2024",
Braces Adjustment,"₱1,000.00",Personal,"November 30, 2024",
JoyRide,₱206.00,Transportation,"November 30, 2024",
Netflix,₱399.00,Entertainment,"November 30, 2024",
"Mama, Papa, Ate","₱10,000.00",Personal,"December 1, 2024",
Grocery,₱213.00,"Home, Personal","December 1, 2024",
Kimchi Fried Rice and Siomai,₱99.00,Food,"December 1, 2024",
Watsons,₱400.50,Personal,"December 1, 2024",
Cup Noodles and Coffee,₱39.00,Food,"December 1, 2024",
JoyRide,₱212.00,Transportation,"December 1, 2024",
Feli Utang,₱100.00,Debt,"December 2, 2024",
Rice,₱20.00,Food,"December 2, 2024",
Mcdo,₱180.00,Food,"December 2, 2024",
Sinigang and Tapsilog,₱170.00,Food,"December 3, 2024",
Watsons,₱303.00,"Home, Personal","December 3, 2024",
JCO,₱199.00,Food,"December 3, 2024",
Chili’s,₱422.00,Food,"December 3, 2024",
Lucky Day,₱30.00,Food,"December 4, 2024",
Chicken and Lucky Day,₱135.00,Food,"December 4, 2024",
Twinkl,₱662.52,Personal,"December 5, 2024",
UAAP,₱500.00,Entertainment,"December 5, 2024",
Hungarian Sausage and Lumpia,₱114.00,Food,"December 5, 2024",
Transportation,₱51.00,Transportation,"December 5, 2024",
Kiosk,₱50.00,Food,"December 5, 2024",
Sisig,₱65.00,Food,"December 5, 2024",
Dinadakan and Pechay,₱100.00,Food,"December 5, 2024",
Water,₱30.00,"Home, Personal","December 6, 2024",
Laundry,₱197.00,"Home, Personal","December 6, 2024",
Turon,₱45.00,Food,"December 6, 2024",
Pares,₱250.00,Food,"December 6, 2024",
Transportation,₱52.00,Transportation,"December 6, 2024",
Enoki,₱40.00,Food,"December 7, 2024",
Turon,₱30.00,Food,"December 7, 2024",
Chicken Tendon,₱139.00,Food,"December 7, 2024",
Janggs,₱159.00,Food,"December 7, 2024",
Karinderya,₱70.00,Food,"December 7, 2024",
Adobo Rice Bowl,₱89.00,Food,"December 8, 2024",
Fries,₱180.00,Food,"December 8, 2024",
Transportation,₱234.00,Transportation,"December 8, 2024",
Cup Noodles,₱29.00,Food,"December 8, 2024",
Turon,₱15.00,Food,"December 8, 2024",
Momarcs,₱87.00,Food,"December 8, 2024",
Paotsin,₱405.00,Food,"December 10, 2024",
Popeyes,₱476.00,Food,"December 10, 2024",
Maongs,₱165.00,Food,"December 11, 2024",
Ikot,₱11.00,Transportation,"December 11, 2024",
Electricity,₱250.00,"Home, Personal","December 11, 2024",
Wifi,₱550.00,"Home, Personal","December 11, 2024",
Hungarian,₱82.00,Food,"December 12, 2024",
Karinderya,₱90.00,Food,"December 12, 2024",
Watsons,₱372.00,"Home, Personal","December 13, 2024",
Utang Feli + Regalo,"₱1,510.00","Food, Home, Personal","December 13, 2024",
Transportation,₱111.00,Transportation,"December 14, 2024",
Gangji Produced,₱587.00,Food,"December 14, 2024",
Laundry,₱97.00,"Food, Home","December 14, 2024",
Karinderya,₱90.00,Food,"December 14, 2024",
Shakeys,₱263.00,Food,"December 15, 2024",
JoyRide,₱206.00,Transportation,"December 15, 2024",
Watsons,₱354.50,"Home, Personal","December 16, 2024",
Aquaflask,₱700.00,Personal,"December 16, 2024",
Transportation,₱72.00,Transportation,"December 16, 2024",
Taxi,₱50.00,Transportation,"December 17, 2024",
Chill Top,₱266.00,Food,"December 17, 2024",
Mix and Match and Rice,₱145.00,Food,"December 17, 2024",
Choco Pie,₱188.00,Food,"December 17, 2024",
Jangg’s,₱80.00,Food,"December 17, 2024",
Friedays + Shake,₱318.00,Food,"December 18, 2024",
Karinderya,₱190.00,Food,"December 18, 2024",
Taxi Transportation,₱300.00,Transportation,"December 18, 2024",
Gilley’s,"₱1,487.00","Entertainment, Personal","December 18, 2024",
Jamaican,₱75.00,Food,"December 19, 2024",
Calamares,₱25.00,Food,"December 19, 2024",
Ikot,₱11.00,Transportation,"December 19, 2024",
Coke Kasalo,₱40.00,Food,"December 19, 2024",
Mcdo and Watsons,₱354.75,"Food, Home","December 19, 2024",
Water and Electric Bills,₱370.00,Home,"December 20, 2024",
Rent,"₱3,000.00",Home,"December 20, 2024",
Slacks,₱275.00,Personal,,
Lamp,₱400.00,Home,,
Bath Stuff,₱600.00,Personal,,
"Braces: May, June, July","₱3,500.00",Personal,,
Extension Chord and Food,₱500.00,"Food, Home",,
Pagkain,₱200.00,Food,,
"Pizza, Macao, Phone, Bayad Mama","₱20,500.00",Personal,,
Watson,₱179.00,Personal,,
"Food KFC, Pizzahut",₱390.00,Food,,
LBC Padala,₱200.00,Personal,,
"Brace Adjustment ","₱1,200.00",Personal,,
Gtech,₱77.75,Personal,,
Braces plus Shirt,"₱3,000.00",Personal,,
,,,,
Braces,₱500.00,Personal,,
Book Atomic Habits,₱223.00,Book,,
Mama Papa,"₱3,500.00",Personal,,
